Lag,Hour,Test,Validation,val_y_shape,,test_y_shape,,val_y_shape,
15,2,0.985,0.983,(75747, 24),(75747, 1),(180, 1)
16,2,0.985,0.983,(75746, 24),(75746, 1),(180, 1)
18,2,0.985,0.983,(75745, 24),(75745, 1),(180, 1)
22,2,0.985,0.983,(75743, 24),(75743, 1),(180, 1)
33,2,0.985,0.983,(75738, 24),(75738, 1),(180, 1)
37,2,0.984,0.983,(75736, 24),(75736, 1),(180, 1)
41,2,0.985,0.983,(75734, 24),(75734, 1),(180, 1)
42,2,0.985,0.983,(75733, 24),(75733, 1),(180, 1)
45,2,0.985,0.983,(75732, 24),(75732, 1),(180, 1)
47,2,0.985,0.983,(75731, 24),(75731, 1),(180, 1)
51,2,0.985,0.983,(75729, 24),(75729, 1),(180, 1)
52,2,0.985,0.983,(75728, 24),(75728, 1),(180, 1)
56,2,0.984,0.983,(75726, 24),(75726, 1),(180, 1)
57,2,0.984,0.983,(75726, 24),(75726, 1),(180, 1)
58,2,0.985,0.983,(75725, 24),(75725, 1),(180, 1)
59,2,0.984,0.983,(75725, 24),(75725, 1),(180, 1)
61,2,0.985,0.983,(75724, 24),(75724, 1),(180, 1)
63,2,0.984,0.983,(75723, 24),(75723, 1),(180, 1)
64,2,0.984,0.983,(75722, 24),(75722, 1),(180, 1)
65,2,0.984,0.983,(75722, 24),(75722, 1),(180, 1)
72,2,0.984,0.983,(75718, 24),(75718, 1),(180, 1)
73,2,0.984,0.983,(75718, 24),(75718, 1),(180, 1)
80,2,0.984,0.983,(75714, 24),(75714, 1),(180, 1)
7,2,0.984,0.982,(75751, 24),(75751, 1),(180, 1)
30,2,0.984,0.982,(75739, 24),(75739, 1),(180, 1)
35,2,0.983,0.982,(75737, 24),(75737, 1),(180, 1)
36,2,0.983,0.982,(75736, 24),(75736, 1),(180, 1)
46,2,0.984,0.982,(75731, 24),(75731, 1),(180, 1)
49,2,0.984,0.982,(75730, 24),(75730, 1),(180, 1)
